Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26
GENESIS-Tabelle: 48121-0002;;;;;;;;;;;;;;;;;;;;;;;;;
Unternehmen, Tätige Personen, Umsatz und weitere betriebs-;;;;;;;;;;;;;;;;;;;;;;;;;
und volkswirtschaftliche Kennzahlen: Deutschland, Jahre,;;;;;;;;;;;;;;;;;;;;;;;;;
Unternehmensgröße, Wirtschaftszweige;;;;;;;;;;;;;;;;;;;;;;;;;
Statistik für kleine und mittlere Unternehmen;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Unternehmen;Unternehmen (EU);Tätige Personen;Umsatz;Umsatz je tätige Person;Bruttoinvestitionen in Sachanlagen;Bruttoinvestitionen in Sachanl. je tätige Person;Unternehmen mit Investitionen;Bruttowertschöpfung zu Faktorkosten;Bruttowertschöpf. zu Faktorkosten je tätige Person;Bruttobetriebsüberschuss;Bruttobetriebsüberschuss je tätige Person;Personalaufwendungen;Personalaufwendungen je tätige Person;Bruttolöhne und -gehälter;Sozialversicherungskosten;Produktionswert;Waren- und Dienstleistungskäufe;Käufe v.Waren u.DL z.Wiederverk. i.unveränd. Zust.;Aufwendungen für Leiharbeitnehmer;Lohn- und Gehaltsempfänger;Lohn- und Gehaltsempfänger in Vollzeiteinheiten
;;;;Anzahl;Anzahl;Anzahl;Mill. EUR;EUR;Mill. EUR;EUR;Anzahl;Mill. EUR;EUR;Mill. EUR;EUR;Mill. EUR;EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Anzahl;Anzahl
2008;Kleinstunternehmen;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;898;.;3440;450;130934;21;5992;470;198;57672;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleinstunternehmen;WZ08-C;Verarbeitendes Gewerbe;118136;.;459668;31664;68884;1382;3007;70009;14160;30805;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleinstunternehmen;WZ08-D;Energieversorgung;205;.;431;178;413671;24;56356;133;54;126063;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleinstunternehmen;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;1573;.;5243;1366;260567;448;85520;1393;762;145267;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleinstunternehmen;WZ08-F;Baugewerbe;199393;.;585617;43196;73761;1153;1969;91750;17041;29100;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleinstunternehmen;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;363397;.;1111377;103931;93515;1534;1380;80146;25425;22877;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleinstunternehmen;WZ08-H;Verkehr und Lagerei;63896;.;192187;13051;67905;1299;6761;28945;6787;35313;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleinstunternehmen;WZ08-I;Gastgewerbe;140870;.;482594;16153;33472;388;805;40673;7283;15091;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleinstunternehmen;WZ08-J;Information und Kommunikation;71945;.;149287;12409;83119;458;3065;35893;7243;48517;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleinstunternehmen;WZ08-L;Grundstücks- und Wohnungswesen;176044;.;292099;29383;100592;19099;65385;43441;21377;73185;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleinstunternehmen;WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;298251;.;704484;48058;68217;2293;3255;146673;31084;44123;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleinstunternehmen;WZ08-N;Sonstige wirtschaftliche Dienstleistungen;93688;.;248081;14804;59675;1491;6011;45433;8641;34830;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleinstunternehmen;WZ08-95;Reparatur von DV-Geräten und Gebrauchsgütern;-;.;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleinstunternehmen;;Insgesamt;1528297;.;4234508;314643;74304;29592;6988;584960;140055;33075;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleine Unternehmen;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;645;.;11034;1954;177065;232;21062;563;792;71775;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleine Unternehmen;WZ08-C;Verarbeitendes Gewerbe;55042;.;1054008;109035;103448;4076;3868;45800;43486;41258;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleine Unternehmen;WZ08-D;Energieversorgung;371;.;3909;1937;495424;259;66250;329;518;132464;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleine Unternehmen;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;2055;.;34341;7529;219246;1720;50094;1823;3907;113779;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleine Unternehmen;WZ08-F;Baugewerbe;33934;.;607340;61681;101559;1313;2161;25675;35338;58185;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleine Unternehmen;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;73292;.;1137105;206661;181743;3045;2678;40807;41787;36749;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleine Unternehmen;WZ08-H;Verkehr und Lagerei;20532;.;379976;40163;105698;3745;9855;15245;18900;49740;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleine Unternehmen;WZ08-I;Gastgewerbe;30143;.;540471;17397;32189;644;1192;19645;8630;15968;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleine Unternehmen;WZ08-J;Information und Kommunikation;9229;.;175269;20605;117560;521;2972;7788;10502;59921;-;-;-;-;.;.;.;.;.;.;.;.
2008;Kleine Unternehmen;WZ08-L;Grundstücks- und Wohnungswesen;6856;.;74409;20422;274458;11308;151969;4475;13803;185501;-;-;-;-;.;.;.;.;.;.;.;.
